correct,student_id,Text,Uncertainty ,Feature Vectors,Other Strategy,Time 
TRUE,Student 90,"The speed of the dog relative to the is 6 m/s as found in the question above, however, this time it is shown in the diagram that the girl is moving in the direction of the dog. From this, from the girl's point of view, it will seem as if the dog is actually moving faster than it is. Therefore, you can add the velocity of the girl relative to the ground and the dog relative to the ground.",2,"(1,1,0,0,0,1,1,0,0,0,1)",1,38:28
FALSE,Student 68,"Since the girl is moving towards the girl, and the girl is also moving towards the dog, the dog appears to be approaching faster than it is actually moving. This understanding is applied to the speed of the dog by adding the speed the girl is moving towards the dog(2m/s) and the speed the dog is moving towards the girl(8m/s).",3,"(1,1,0,0,0,1,1,0,0,0,1)",1,25:55
TRUE,Student 44,"in this case, since the girl's velocity relative to the belt is 0, and the dog's velocity relative to the belt is -8m/s the speed of the dog relative to the girl is |-8m/s|",2,"(1,1,1,1,0,1,1,0,0,0,0)",0,24:03
TRUE,Student 38,"I chose 8 m/s because I applied the same formula here. To find the velocity of the dog relative to the girl, we have to add the velocity of the dog relative to the belt, and the velocity of the belt relative to the girl. We know the dog's velocity relative to the belt is -8m/s, and the girl is standing stationary on the belt, thus making the belt's velocity relative to the girl 0 m/s. If we add these, we still get 8 m/s.",2,"(1,1,1,1,0,1,1,0,1,0,0)",1,42:44
TRUE,Student 39,"Because V(A, B) = V(A, C) + V(C, B); V(dog, girl) = V(dog, belt) + V(belt, girl) Thus V(dog, girl) = (-8 m/s) + (0 m/s) = -8 m/s",2,"(1,1,1,0,0,0,0,0,0,0,0)",1,18:17
FALSE,Student 49,The girl is moving to the dog at 2m/s and the dog is moving to the girl at 8m/s so you combine the two forces to get 10m/s,3,"(1,1,0,1,0,1,1,0,0,0,0)",1,09:12
TRUE,Student 102,"Since the dog and the girl are both on the treadmill, they both have the same reference relative to the treadmill. Thus, the girl and dog do not seem to be affected by the treadmill, thus going 8 m/s towards her.",2,"(1,1,1,1,0,0,1,0,1,1,0)",0,08:49
TRUE,Student 97,"the girl and the dog are both affected by the conveyor belt, so its speed is not factored in. The dog is running at 8 m/s.",2,"(1,1,1,0,0,0,1,0,1,1,0)",0,04:06
TRUE,Student 71,"First, imagine that the conveyor is made of connected tiles 1 meter x 1 meter. If the girl was the tile she is standing on (for the sake of simplifying this) and was treated as the origin of a 2D line, the dog would be moving towards it at a rate of 8 tiles per second; the dog moved eight tiles from the one it had just been sitting on in 1 second. So, relatively, the dog is moving 8 meters (or 8 tiles) per second toward the girl. That's pretty fast!",2,"(1,1,1,1,0,0,1,0,1,1,0)",0,49:05
FALSE,Student 53,You would add the 8 m/s and 2/s because they are both coming together towards each other. This would result in a velocity of 10 m/s.,3,"(0,0,0,0,0,0,0,0,0,0,0)",1,29:24
TRUE,Student 40,"The velocity of the dog relative to the girl is equal to the velocity of the dog relative to the belt plus the velocity of the belt relative to the girl. The velocity of the dog relative to the belt is 8 and the velocity of the belt relative to the girl is 0 (because the belt and the girl are moving at the same speed and direction. So, since 8+0=8, the speed of the dog relative to the girl is 8 m/s.",2,"(1,1,1,0,1,1,1,1,0,0,0)",1,33:15
TRUE,Student 69,"Since the girl is not moving on the belt, her speed relative to the belt would be 0 m/s and because we are observing the dog's speed relative to her, the dog would be going 6 m/s since she isn't moving. Basically like a person on a train looks like they're going a normal speed inside the train but outside like are going really fast relative to the ground.",2,"(1,1,1,0,0,1,0,0,1,0,1)",0,35:05
TRUE,Student 99,"the girl is moving at the same speed to of belt relative to the ground( in other words, the girl is standing still relative to the belt), so the speed of dog relative to the girl would equal to the speed of dog relative to the belt.",2,"(1,1,1,0,0,1,1,1,0,0,0)",0,11:37
TRUE,Student 12,"Since the girl is also on the belt that is moving, the dog would be moving the same speed relative to the girl that it would be relative to the belt.",2,"(1,1,1,0,0,1,1,1,1,0,0)",0,26:47
FALSE,Student 91,"Here, we again combine the two vectors to get our answer, but we have 8m/s + 2m/s = 10m/s. The difference is that the two vectors are working together to shorten the distance.",3,"(0,0,0,0,0,0,0,0,0,0,0)",1,22:43
TRUE,Student 33,"The answer would be 8m/s because the girl is moving at the same speed as the, and the velocity of 8 m/s of the dog relative of the belt should be interchangeable with the speed of the dog with respect to the girl.",2,"(1,1,1,0,0,1,1,0,0,0,0)",0,26:35
TRUE,Student 64,"The girl and the dog are both on the belt. If both their velocities were 0, then they would be stationary relative to each other. Because the dog is moving relative to the belt, it is also moving relative to the girl and at the same rate since she is at rest relative to the belt.",2,"(1,1,1,0,0,1,1,0,1,1,0)",0,05:02
TRUE,Student 86,"The girl is standing on the belt and is not moving on the belt. But since the dog is, its speed will be 8m/s relative to the girl.",2,"(1,1,1,0,0,1,1,0,1,1,0)",0,13:29
TRUE,Student 16,"The speed of the girl relative to the belt is 0 m/s. The speed of the belt relative to the dog is 8 m/s. Thus, the speed of the girl relative to the dog is 8 m/s.",2,"(1,1,1,0,0,1,1,0,0,0,0)",1,49:16
FALSE,Student 95,"The girl is moving towards the dog, so the dog will catch her sooner than he would if she was still on the ground. Therefore, the dog is moving faster relative to the girl by 2 m/s, which is the speed of the conveyor belt.",3,"(1,1,1,0,0,1,1,1,0,0,1)",0,13:10
FALSE,Student 63,The speed is still 10 because since the girl is not moving she is moving the same speed as the conveyer belt so the result is still the same,3,"(1,0,1,0,0,1,0,1,0,0,0)",0,29:27
FALSE,Student 82,"Since the girl is on the floor/belt, the velocity of the dog is the same when its relative to her as well. The women would see the dog going at her at 6m/s.",1,"(1,1,1,0,0,0,1,0,1,0,0)",0,35:41
TRUE,Student 101,"Both the dog and the girl are moving with the belt, so the movement of the belt does not influence the dog relative to the girl. Therefore, the dog is moving 8 m/s relative to the girl.",2,"(1,1,1,0,0,1,1,0,1,1,0)",0,26:19
FALSE,Student 41,I believe that the answer is 10 m/s because since the lady is getting closer to the dog at 2 m/s and the dog is getting closer to her at 8m/s from the perspective of the lady the dog is coming at 8 m/s because every second she is getting 2 m/s closer.,3,"(1,1,0,1,0,1,1,0,0,0,0)",1,29:09
TRUE,Student 73,"Because she is standing still, although the conveyor belt is moving, the dog remains approaching at 8m/s, and therefore the dog moves 8m/s relative to the girl because there is no opposing movement to add or subtract.",2,"(1,1,1,0,0,1,1,1,1,0,0)",0,31:30
TRUE,Student 46,"Using velocity relations for relative motion again, we can see that the dog is going 8 m/s relative to the belt (v(a,c)). The girl is going 0 m/s relative to the belt because she is just standing, not moving (v(c,b)). So, if we add 8 m/s and 0 m/s, we get 8 m/s. We are not concerned with the ground in this answer, just the belt.",2,"(1,1,1,0,0,1,1,0,1,0,0)",1,30:58
FALSE,Student 25,"Even though the view point changed, the movement of the belt will still effect the speed of the dog, so it will look like the dog has a velocity of 6 m/s.",1,"(0,1,1,0,0,0,1,1,0,1,0)",0,32:51
TRUE,Student 19,"The dog's speed with respect to the girl would be 8 meters / second, because the speed of the girl relative to the belt is 0, so the only velocity happening is the speed of the dog, which is 8 m/s.",2,"(1,1,1,0,0,1,1,0,0,0,0)",1,09:34
TRUE,Student 6,"Because both the dog and the girl are on the conveyor belt, the belt is relatively the stationary for them both. Therefore, the speed of the speed of the dog for the girl would be the same as the diagram shows.",2,"(1,1,1,0,0,0,1,0,1,1,0)",0,03:37
FALSE,Student 85,"Since the dog and the girl are moving toward each other, combining the velocity vectors will give the speed of the dog relative to the girl.",3,"(1,1,0,0,0,1,1,0,0,0,0)",1,22:18
FALSE,Student 45,"The speed of the dog relative to the girl will be 6m/s because I honestly see it as the two eventually colliding, meaning that within the same second that the dog travels 8m the woman also travels 2m. The remaining distance between the two will be 6m and the difference will decrease like this until the collision occurs. This is just my theory, which may be completely wrong.",1,"(1,1,0,0,0,0,1,0,0,0,0)",0,34:19
TRUE,Student 22,"The relative velocity equation can also be used in this situation. The relative speed of the dog to the girl is equal to the sum of the velocity of the dog on the belt and the velocity of the belt on the girl. Since the girl is not moving on the belt, her velocity is 0, making the sum 8 + 0 = 8 m/s.",2,"(1,1,1,0,0,1,1,1,0,0,0)",1,31:39
TRUE,Student 96,"Since the dog and the girl are both on the reference frame of the conveyer belt, the speed at which the conveyer belt is moving is irrelevant in this situation. Therefore, the dog is still running toward the girl at a velocity of 8 m/s.",2,"(1,1,1,1,0,0,1,1,1,1,0)",0,17:29
TRUE,Student 56,"The speed of the dog relative to the girl is 8 m/s. The speed of the dog relative to the belt is 8 m/s and the speed of the belt relative to the girl is 0 m/s (because the girl stands on the belt, moving at the same velocity as the belt moves with respect to the ground). When those are added together, it results in 8 m/s.",2,"(1,1,1,0,0,1,1,1,1,1,0)",1,40:16
TRUE,Student 50,The girl is not moving so her velocity is 0 m/s. The dog then is moving 8m/s toward the girl regardless of the velocity of the belt.,2,"(1,1,1,1,0,1,1,1,0,0,0)",0,37:27
TRUE,Student 21,Both the woman and the dog are on the conveyer belt,2,"(1,1,1,0,0,0,0,0,0,0,0)",0,28:13
TRUE,Student 92,"Since the velocity vector relating the girl to the belt is 0 m/s, and we add that vector to the vector relating the dog to the belt, the resultant velocity vector moves 8 m/s in the negative direction",2,"(1,1,1,1,0,1,1,0,0,0,0)",1,21:00
TRUE,Student 10,The dog and the girl are both on the conveyor belt. The velocity of the dog would be equal to the velocity of the dog with respect to the belt and the belt with respect to the girl. The girl is standing still which would be a vector of magnitude 0 plus the dog's velocity vector os 8 m/s to the left which gives 8 m/s to the left.,2,"(1,1,1,1,0,1,1,0,1,1,0)",1,38:40
FALSE,Student 2,"I feel like its the same as the first question, dog is going negative direction and girl postive so vgirl= -8+2= 6",1,"(1,1,0,1,0,0,0,0,0,0,0)",0,36:45
TRUE,Student 59,I'm having a hard time deciding between 6 and 8m/s but thinking about the elevator problem we did from inside the elevator the ball was moving the same as it would be if there was no elevator so i assume for this problem the same logic applies that since the lady is on the belt then the dogs speed should remain similar to how it would be if the belt wasnt there. the reason im still caught on 6m/s a little bit is because just like in the first part the dog is still running against the belt just like how earlier the girl was swimming against the current,2,"(1,1,1,1,0,0,1,0,1,1,0)",0,25:05
TRUE,Student 94,"The girl is at rest on the moving walkway; for the purposes of evaluating movement, she is essentially an extension of the belt. The dog's speed relative to her is the same as its speed relative to the belt.",2,"(1,1,1,0,0,1,1,0,1,0,0)",0,16:14
TRUE,Student 11,There would be no change in velocity of the dog on the conveyor belt along with the girl. They are both in the frame as well for this reason.,2,"(1,1,1,0,0,1,1,0,1,1,0)",0,01:23
TRUE,Student 79,"Relative to the girl, the dog is moving at a speed of 8 meters per second. This was was really tricky to understand at first, because the first thing that comes to my mind is including the speed of the belt. What's so important to understand is that relative to the belt, the girl is not moving. She's staying still relative to the belt while the dog is moving at a velocity of 8 meters per second in the opposite direction relative to the belt. Both the dog and the girl are on the moving belt, so this speed will not affect the velocity of the dog relative to the girl. So, if the girl is not moving (in relativity to the belt) and has a velocity of 0 m/s and the dog is moving at a speed of 8 m/s in relation to the belt, we can conclude that the dog is moving at a speed of 8 meters per second relative to the girl.",2,"(1,1,1,1,0,1,1,1,1,1,0)",0,49:46
TRUE,Student 5,"The dog is moving 8 m/s to the left on the conveyer belt, and the girl is standing still on the conveyer belt, so the 2 m/s to the right that both the dog and the girl are going does not matter with respect to the girl, and the dog's speed is just 8 m/s.",2,"(1,1,1,1,1,1,1,1,1,1,0)",0,14:46
TRUE,Student 57,"The girl's velocity is 0 m/s. So when we subtract 8 m/s by 0 m/s, we get 8 m/s. This makes sense because both the dog and the girl are unfazed by the velocity of the belt so the only relative speed they witness is that of each other's",2,"(1,1,0,0,0,1,1,0,0,0,0)",1,47:12
TRUE,Student 61,"The girl and the dog are getting closer. The girl is moving closer to the dog at 2 m/s and the dog is moving closer to the girl at 6 m/s. Therefore, from the perspective of the girl, the dog is moving 8 m/s. 6 m/s + 2 m/s = 8 m/s.",2,"(1,1,0,1,0,1,1,0,0,0,0)",1,35:27
TRUE,Student 18,"Since the girl is moving 2 m/s back with the conveyor belt, and from her reference frame she is not moving, the velocity of the dog is not affected by the velocity of the conveyor belt. Thus the dog is moving 8 m/s toward the girl.",2,"(1,1,1,1,1,1,1,1,1,1,0)",0,08:34
FALSE,Student 80,To the girl the dog appears to be moving at 6 m/s.,1,"(1,1,0,0,0,0,1,0,0,0,0)",0,29:02
TRUE,Student 100,"Since the girl is not moving on the belt, we can treat her as a point on the belt. Thus, the speed of the dog relative to the girl is the same as the speed of the dog relative to the belt.",2,"(1,1,1,0,0,1,1,0,1,0,0)",0,17:39
FALSE,Student 13,The dog is moving in the direction of the girl and the girl is moving the direction of the dog because the belt is moving the same way. So I added the dog's speed to the speed of the belt as that is what the girl will see when she sees the dog.,3,"(1,1,1,1,1,1,1,1,0,0,0)",1,38:38
TRUE,Student 7,"At first, I thought the dog would be moving 10 m/s relative to the girl (adding 2 m/s to 8 m/s). Then I realized the girl is not moving relative to the belt, so, from her perspective, the dog is only moving 8 m/s.",2,"(1,1,1,0,0,1,1,0,0,0,1)",0,27:24
TRUE,Student 60,"The dog and the girl are both on the belt, so its movement in relation to the ground can be ignored. She is standing still on the belt while the dog is moving left at 8 m/s, so the dog would appear to be moving its speed relative to the belt: 8 m/s.",2,"(1,1,1,1,0,1,1,1,1,1,0)",0,02:55
TRUE,Student 26,The girl is on the conveyor belt so she is moving at the speed of the conveyor belt relative to the ground so the speed of the dog relative to the belt should be equal to the speed of the dog relative to the girl.,2,"(1,1,1,0,0,1,1,1,1,1,0)",0,32:23
TRUE,Student 36,She's just watching the dog. So she sees how fast he is moving regardless of the effect of the walkway because they're both on it.,2,"(1,1,1,0,0,0,1,0,1,1,0)",0,05:07
TRUE,Student 75,"Relative to the walkway, the girl is stationary: she is only moving where the walkway moves her. As for the dog, we know from the question that the dog is moving 8 m/s relative to the walkway. As a result, we know that the dog (moving at 8 m/s) and the girl (moving at 0 m/s), are closing at 8 m/s.",2,"(1,1,1,0,0,1,1,1,1,0,0)",1,10:06
